"X","Y"
0,16.5592239314231
0.1,13.6391116325982
0.2,4.26402647874094
0.3,10.4703883429002
0.4,4.991728315063
0.5,8.5979780993691
0.6,10.8623159703534
0.7,17.0311129498581
0.8,9.21739959648042
0.9,10.8146584270519
1,14.5992912018806
1.1,15.8456670798737
1.2,19.671021320404
1.3,19.3409785152722
1.4,9.02184538494812
1.5,19.632071588802
1.6,11.1968608141343
1.7,8.07555438664819
1.8,18.8473529269633
1.9,13.3433168527456
2,22.7351529793634
2.1,15.4217025290697
2.2,16.1724525414063
2.3,10.6961595989559
2.4,10.2091576910973
2.5,10.7344577364137
2.6,13.0686991447254
2.7,16.5132579250571
2.8,20.2875888770852
2.9,14.6945457547757
3,11.3297091106299
3.1,16.3001765198242
3.2,17.3374498221332
3.3,22.5902587466659
3.4,22.05754346579
3.5,14.1497705581837
3.6,12.7323671519085
3.7,17.7790206011555
3.8,12.3236645724241
3.9,24.5915026430534
4,19.8660084939035
4.1,9.5346109897158
4.2,18.060498585305
4.3,19.9474235301308
4.4,27.7683365465605
4.5,23.624048547489
4.6,28.0762066327681
4.7,27.7161825473001
4.8,17.4927791032667
4.9,11.4560942661189
5,23.5202480494426
5.1,21.2021360841803
5.2,23.9322780054827
5.3,32.0192311433475
5.4,30.4200332332051
5.5,24.1302781857261
5.6,30.9380969397671
5.7,34.4438053780813
5.8,24.373689615207
5.9,28.2997478682609
6,27.8619658297989
6.1,28.8315003364876
6.2,30.6416137815657
6.3,25.0000679184069
6.4,26.9371460826695
6.5,24.8325276451698
6.6,24.8044582490032
6.7,34.1149523557201
6.8,23.996587552336
6.9,24.9943066825508
7,39.7686450244493
7.1,32.4176321883697
7.2,28.0495090189676
7.3,30.7563093403928
7.4,37.8932583080728
7.5,30.6172326588578
7.6,26.7327069145405
7.7,36.0150307406401
7.8,25.2439461538126
7.9,34.0165328467812
8,28.8848209450342
8.1,37.3947214759022
8.2,37.6441450268677
8.3,36.6024489084504
8.4,27.6076466106763
8.5,38.532197453081
8.6,35.0864287505319
8.7,37.9382612150408
8.8,31.7116479133931
8.9,38.4115692866725
9,38.4156746243323
9.1,37.2262791867646
9.2,41.2125561165378
9.3,22.1003170131146
9.4,49.3165458956253
9.5,37.2028455492952
9.6,40.2235940631849
9.7,37.7485357916033
9.8,39.1964480771198
9.9,40.1307361381411
10,42.4538013457721
